Old ID;New ID;Description;Satellite;Start;End;LonMin;LonMax;LatMin;LatMax
C1;C1;Wave packets;GOES-W;2016-06-12T18:00;2016-06-19T04:00;-180;-130;0;30
C2;C2;Wave packets;GOES-W;2016-06-17T09:00;2016-06-22T12:00;-180;-130;0;20
C3;C3;Wave packets;GOES-W;2016-06-20T00:00;2016-06-28T00:00;-180;-130;0;20
C4;C4;Arrays of wave packets;GOES-W;2016-08-10T00:00;2016-08-18T13:00;-180;-110;0;20
C5;C5;Arrays of wave packets;GOES-W;2016-09-02T00:00;2016-09-07T09:00;-180;-120;0;20
C6;C6;Large aggregate;GOES-W;2016-09-08T14:00;2016-09-13T19:00;-180;-140;0;30
C7;C7;Multiple growths;GOES-W;2016-06-05T12:00;2016-06-09T12:00;-140;-115;2;18
C8;C8;Large westward‑propagating aggregate;GOES-W;2016-06-26T20:00;2016-07-02T20:00;-135;-105;2;18
C9;C9;Upscale growth into large MCS;MSG;2016-06-03T10:00;2016-06-05T10:00;5;40;-5;15
C10;C10;Upscale growth into large MCS;MSG;2016-07-01T09:00;2016-07-03T09:00;5;40;-5;15
C11;C11;Upscale growth into large MCS;MSG;2016-07-21T23:00;2016-07-24T09:00;0;40;-5;15
C12;C12;Merging over night;MSG;2016-07-04T09:00;2016-07-06T09:00;0;40;-5;15
C13;C13;Merging over night;MSG;2016-07-16T22:00;2016-07-20T21:00;0;40;-5;15
C14;C14;African Easterly Wave;MSG;2016-06-07T00:00;2016-06-11T00:00;-12;25;0;20
C15;C15;Long‑lasting regenerating cluster;MSG;2016-08-05T09:00;2016-08-08T12:00;5;35;-5;15
C16;C16;Diurnal oscillations + upscale growth;MSG;2016-08-23T09:00;2016-08-26T12:00;0;40;-10;15
C17;C17;Tropical cyclone;HIMAWARI;2016-07-02T05:00;2016-07-09T20:00;115;150;-5;30
C18;C18;Tropical cyclone;HIMAWARI;2016-08-01T00:00;2016-08-08T00:00;130;165;-5;30
C19;C19;Tropical cyclone;HIMAWARI;2016-08-11T00:00;2016-08-15T00:00;120;160;-5;30
C20;C20;Tropical cyclone;GOES-W;2016-08-24T15:00;2016-09-05T04:00;-165;-105;10;30
C21;C21;Upscale growth in land diurnal cycle;GOES-E;2016-01-09T12:00;2016-01-13T13:00;-80;-35;-30;0
C22;C22;Upscale growth in land diurnal cycle;GOES-E;2016-01-13T16:45;2016-01-17T05:00;-80;-35;-30;0
C23;C23;Upscale growth in land diurnal cycle;GOES-E;2016-01-18T14:45;2016-01-22T11:45;-80;-35;-30;0
C24;C24;Upscale growth in land diurnal cycle;GOES-E;2016-02-27T15:00;2016-03-03T12:00;-82;-40;-15;5
C25;C25;Upscale growth in land diurnal cycle;GOES-E;2016-04-01T01:15;2016-04-03T07:00;-82;-40;-15;5
C26;C26;Upscale growth in land diurnal cycle;GOES-E;2016-04-16T07:00;2016-04-23T07:00;-82;-40;-15;5
C27;C27;Westward‑propagating squall lines;GOES-E;2016-04-16T07:00;2016-04-23T07:00;-80;-45;-12;12
